Pressure [Pa],Velocity [m/s]
110040.388,0.79819317
109170.795,1.02146757
109232.193,1.00496432
109419.142,0.965157834
109530.626,0.928955641
108425.99,0.642208493
108629.521,0.977544972
108196.198,0.697544103
108672.813,0.554441584
108861.459,0.94509249
108572.96,0.590605901
109679.84,0.928725278
109823.697,0.901089854
108537.482,0.859962057
108812.931,1.00121374
109222.564,1.00733333
109264.484,1.00220057
108773.53,0.824041428
108830.444,0.994064792
112545.893,0.524878718
110944.719,0.696033687
112329.843,0.579383874
112344.374,0.600004303
111057.734,0.595707771
110868.498,0.649041732
109232.435,0.36137685
109390.764,0.877870154
109360.772,0.653892203
109479.765,0.940073306
109771.422,0.528628598
109725.491,0.843714707
109719.143,0.649478696
109740.09,0.921284982
109436.662,1.01274608
109476.246,0.997656363
109438.352,0.987407427
109584.116,0.951740137
109705.158,0.976604276
109762.226,0.960351544
109681.543,0.94725584
109808.151,0.922130997
109337.49,0.455733039
109469.644,0.875754467
109429.902,0.489927392
109706.585,0.453304395
109757.123,0.847629049
109729.76,0.420090381
109432.596,1.00315127
109531.606,0.990336921
109424.099,0.739821331
109414.843,0.908778795
109708.787,0.96891778
109770.222,0.958501691
109778.882,0.697057562
109751.286,0.866405172
110094.152,0.546932466
110101.597,0.818201069
110082.551,0.654284713
110090.2,0.893246243
110415.411,0.555140385
110419.892,0.798258341
110392.967,0.655173366
110399.749,0.868585171
110096.425,0.944164851
110149.045,0.928954303
110092.094,0.91378571
110152.367,0.896118099
110426.822,0.915873064
110471.394,0.902014505
110417.174,0.885708655
110445.673,0.87467399
110088.386,0.492002597
110096.499,0.81962971
110093.532,0.363621776
110396.77,0.515324428
110402.697,0.796402205
110390.96,0.333198124
110089.994,0.936579757
110135.136,0.930244825
110113.873,0.668671389
110125.541,0.833483033
110418.184,0.907256249
110449.902,0.903877362
110420.238,0.642512245
110448.275,0.802337285
110448.275,0.802337285
111423.468,0.595104663
111901.97,0.65346148
111207.429,0.557190947
111557.347,0.655396943
110422.624,0.829077169
111062.812,0.74274045
110572.871,0.741205645
110976.908,0.779572498
112430.478,0.5193356
112248.122,0.565173792
111450.82,0.523329118
111273.451,0.587033628
111363.763,0.594377093
111858.256,0.659307285
111864.398,0.673936839
112465.497,0.587644072
110428.429,0.817068846
111033.307,0.751031216
110912.46,0.761658759
111122.72,0.615481203
112411.92,0.5283667
112884.204,0.466834958
111385.174,0.5332142
108854.563,0.998582848
108249.948,0.75113649
109583.787,0.973722039
108592.559,0.862847646
109091.128,0.977699509
108614.422,0.697098373
109194.103,1.02721346
108764.97,0.832405485
108974.548,0.992199088
108335.307,0.764431809
108343.418,0.79222314
108343.418,0.79222314
108343.418,0.79222314
109156.572,0.988677247
108644.234,0.725835585
108579.757,0.773151223
108579.757,0.773151223
112431.235,0.532832486
112902.719,0.463904632
111166.617,0.537634247
109410.745,0.930410743
109394.791,0.614903297
109447.474,0.985234097
109405.106,0.748808285
109767.673,0.900374311
109808.755,0.561637488
109786.356,0.954734427
109839.69,0.675469581
109382.43,0.954685988
109404.933,0.662931893
109403.323,0.710790017
109403.323,0.710790017
109781.467,0.924559043
109807.931,0.624207806
109802.158,0.679703501
109783.722,0.604175569
110142.422,0.870342102
110193.494,0.521654603
110168.568,0.922943755
110272.661,0.581312194
110473.718,0.84162755
110528.56,0.480901417
110491.021,0.891340916
110520.053,0.478548241
110159.542,0.892009937
110199.512,0.593088068
110175.154,0.656658675
110203.481,0.541293517
110506.377,0.862083697
110544.364,0.552414915
110481.979,0.638657149
110501.849,0.508232673
110717.087,0.467983893
110983,0.482678428
110983,0.482678428
110732.816,0.704427627
110765.633,0.625197489
110986.702,0.679774533
110985.403,0.590545143
110986.702,0.679774533
110985.403,0.590545143
111230.422,0.489632103
111230.422,0.489632103
111511.872,0.451151872
111473.515,0.495646232
111264.369,0.654250227
111289.212,0.568688684
111264.369,0.654250227
111289.212,0.568688684
111399.796,0.557229687
111507.013,0.523302229
111502.86,0.637078367
111511.554,0.559347283
111708.362,0.426533372
111691.599,0.505140094
111891.689,0.51527048
111901.358,0.416750696
111891.689,0.51527048
111725.85,0.502098182
111735.815,0.483430933
111710.248,0.626105303
111728.905,0.550277539
111916.436,0.477210442
111931.731,0.453746021
111906.815,0.617133857
111926.845,0.544553107
112086.041,0.522167992
112088.847,0.416142907
112086.041,0.522167992
112285.955,0.463315539
112269.634,0.420826029
112269.993,0.528750467
112098.542,0.457792041
112113.198,0.432565141
112092.121,0.610314849
112109.368,0.546935805
112277.321,0.442534274
112278.543,0.417358697
112268.899,0.607159128
112274.626,0.552782494
110769.511,0.555036707
110775.247,0.41618365
111029.571,0.540929441
111051.068,0.365686199
111302.09,0.519083654
111308.421,0.306548781
111550.01,0.477062472
111550.01,0.477062472
111562.539,0.250141629
111752.775,0.442311531
111752.775,0.442311531
111772.571,0.197308154
111929.184,0.417465469
111954.576,0.427237724
111969.823,0.145238357
112118.265,0.387554731
112125.609,0.40855968
112137.45,0.094393077
112277.932,0.358296069
112279.702,0.381421326
112289.908,0.044845393
110701.084,0.563787949
110707.567,0.782313881
110684.626,0.651217421
110694.379,0.846617856
110963.993,0.571476363
110974.563,0.768984017
110964.642,0.645408184
110963.869,0.826610056
110723.952,0.892453533
110756.187,0.8790339
110711.284,0.863075131
110731.301,0.852696743
110989.903,0.87164665
111019.227,0.858625805
110981.156,0.842464749
110999.417,0.830542859
110679.546,0.532074202
110683.997,0.776148538
110670.238,0.311830983
110670.238,0.311830983
110965.318,0.533781122
110962.507,0.758307451
110939.761,0.313186256
110939.761,0.313186256
110714.783,0.88292552
110745.637,0.879541207
110703.46,0.621457897
110766.718,0.77475161
110984.736,0.861500055
111015.901,0.857956869
110987.163,0.606916293
111008.292,0.755365579
111227.291,0.571943094
111230.939,0.75749169
111226.376,0.641060409
111221.091,0.809423246
111477.487,0.571918604
111474.173,0.750031104
111454.04,0.637393768
111457.326,0.79555033
111249.947,0.853064326
111274.268,0.840703416
111238.978,0.824316771
111267.421,0.810205982
111488.659,0.838602484
111511.148,0.827184254
111475.718,0.810088371
111508.012,0.795757872
111235.067,0.525847262
111227.136,0.744019463
111328.039,0.306512583
111204.865,0.330279823
111463.467,0.518160255
111465.553,0.73448487
111497.174,0.277975863
111455.364,0.353548199
111240.604,0.842906697
111265.467,0.839478497
111223.426,0.602237041
111244.285,0.736468481
111479.907,0.827694115
111502.002,0.824597118
111463.09,0.601745708
111488.391,0.720223658
110703.46,0.621457897
110766.718,0.77475161
110987.163,0.606916293
111008.292,0.755365579
111229.412,0.564202041
111110.318,0.695463366
111496.971,0.541243673
111492.588,0.655420363
111688.118,0.573574967
111690.27,0.745905736
111675.112,0.634702319
111677.374,0.785173
