Volume [m^3],Pressure [Pa],Velocity [m/s]
3.42E-07,201265.67,0.084956809
3.42E-07,201274.428,0.11042443
3.42E-07,200790.623,0.078049252
3.42E-07,200798.109,0.099738496
6.39E-08,200550.7,0.055304069
7.71E-08,200506.483,0.092793223
8.36E-08,200522.699,0.113788632
8.36E-08,200514.604,0.139625632
1.01E-07,200482.647,0.100615563
1.01E-07,200482.406,0.104493195
2.84E-07,201323.84,0.152584083
2.84E-07,201373.271,0.13870254
2.84E-07,200861.225,0.146673115
2.84E-07,200925.177,0.120115507
3.42E-07,201291.163,0.132319424
3.42E-07,201317.429,0.156097505
3.42E-07,200819.887,0.118251367
3.42E-07,200856.199,0.142436827
2.84E-07,201401.201,0.11728199
2.84E-07,201420.817,0.124430516
2.84E-07,200959.573,0.080253566
2.84E-07,200991.03,0.081546256
3.42E-07,201326.554,0.182286755
3.42E-07,201340.445,0.198056201
3.42E-07,200868.862,0.181285624
3.42E-07,200890.057,0.197824437
8.36E-08,200528.926,0.131890184
8.36E-08,200579.376,0.095841053
1.01E-07,200497.641,0.089984415
1.01E-07,200537.609,0.06487788
8.36E-08,200593.865,0.033855969
8.36E-08,200614.652,0.049763019
1.01E-07,200546.02,0.047180596
1.01E-07,200570.114,0.053665214
2.53E-07,207135.422,0.044670592
2.62E-07,206648.585,0.081489945
2.53E-07,207127.265,0.066715366
2.62E-07,206637.408,0.101020877
3.32E-07,207133.271,0.064968448
3.32E-07,207125.987,0.074849389
3.42E-07,206642.859,0.089217034
3.42E-07,206634.425,0.079468619
3.32E-07,207122.926,0.085182734
3.32E-07,207113.13,0.095540309
3.42E-07,206631.596,0.101253726
3.42E-07,206622.569,0.09154246
2.62E-07,206148.274,0.11205863
2.62E-07,205647.165,0.131728255
2.62E-07,206137.473,0.125232592
2.62E-07,205637.669,0.135056081
3.42E-07,206139.843,0.103555032
3.42E-07,206134.281,0.073970979
3.42E-07,205640.622,0.108691616
3.42E-07,205635.738,0.07135605
3.42E-07,206128.464,0.10228922
3.42E-07,206124.657,0.073878562
3.42E-07,205631.094,0.098278567
3.42E-07,205628.378,0.061870969
2.53E-07,207117.153,0.08303924
2.62E-07,206626.185,0.112786493
2.53E-07,207108.665,0.093737075
2.62E-07,206616.431,0.119675995
3.32E-07,207111.673,0.099859536
3.32E-07,207101.444,0.110489974
